"label","url"
http://www.statsbiblioteket.dk/doms/shard/uuid:19ecdedc-cffc-413b-b545-a140bbc34801,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287489600-2010-10-19-14.00.00_1287493200-2010-10-19-15.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:3d2e1cdd-504c-4401-b930-1acb968b637e,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287421200-2010-10-18-19.00.00_1287424800-2010-10-18-20.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:f8fdcbdd-0b4e-4c88-8a4d-65804f638ba4,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287612000-2010-10-21-00.00.00_1287615600-2010-10-21-01.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:f8fdcbdd-0b4e-4c88-8a4d-65804f638ba4,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287633600-2010-10-21-06.00.00_1287637200-2010-10-21-07.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:f8fdcbdd-0b4e-4c88-8a4d-65804f638ba4,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287608400-2010-10-20-23.00.00_1287612000-2010-10-21-00.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:f8fdcbdd-0b4e-4c88-8a4d-65804f638ba4,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287615600-2010-10-21-01.00.00_1287619200-2010-10-21-02.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:f8fdcbdd-0b4e-4c88-8a4d-65804f638ba4,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287622800-2010-10-21-03.00.00_1287626400-2010-10-21-04.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:f8fdcbdd-0b4e-4c88-8a4d-65804f638ba4,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287626400-2010-10-21-04.00.00_1287630000-2010-10-21-05.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:f8fdcbdd-0b4e-4c88-8a4d-65804f638ba4,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287619200-2010-10-21-02.00.00_1287622800-2010-10-21-03.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:f8fdcbdd-0b4e-4c88-8a4d-65804f638ba4,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287630000-2010-10-21-05.00.00_1287633600-2010-10-21-06.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:c05efcce-17f1-4221-8a5f-02fcb6805f3c,http://bitfinder.statsbiblioteket.dk/bart/drp1_88.100_DR-P1_pcm_20101022045601_20101023045501_encoder5-2.wav
http://www.statsbiblioteket.dk/doms/shard/uuid:1097bde3-4164-42c1-8331-96fad35d2a4e,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287522000-2010-10-19-23.00.00_1287525600-2010-10-20-00.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:1097bde3-4164-42c1-8331-96fad35d2a4e,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287518400-2010-10-19-22.00.00_1287522000-2010-10-19-23.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:1097bde3-4164-42c1-8331-96fad35d2a4e,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287514800-2010-10-19-21.00.00_1287518400-2010-10-19-22.00.00_dvb1-2.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:8ce74570-4ff0-496a-8e61-aa9a4673a684,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287633600-2010-10-21-06.00.00_1287637200-2010-10-21-07.00.00_dvb1-1.ts
